idCode,itemCode,koreanName,Update,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61
Y231,A18,웰딩너트,2022-02-13,standard,M4,M5,M6,M8,M10,M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y232,A18,웰딩너트,2022-02-13,사각,19,19,23,32,46,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y233,A18,웰딩너트,2022-02-13,육각,19,19,23,32,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y234,A39,턴버클,2022-02-13,standard,1_8,3_16,1_4,5_16,3_8,1_2,5_8,3_4,7_8,1,1 1_4,1 1_2,1 3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y235,A39,턴버클,2022-02-13,주물,,330,400,550,750,1000,2500,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y236,A39,턴버클,2022-02-13,짜게,,,,,1000,1600,2500,4000,6000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y237,A39,턴버클,2022-02-13,스텐,,1500,1500,2500,3500,6500,12000,23000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y238,A40,클립,2022-02-13,standard,1_8,3_16,1_4,5_16,3_8,1_2,5_8,3_4,7_8,1,1 1_4,1 1_2,1 3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y239,A40,클립,2022-02-13,주물,60,100,130,150,250,430,600,850,1300,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y240,A40,클립,2022-02-13,스텐,500,550,700,800,1300,1900,3800,5000,7000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y241,A41,샤클,2022-02-13,standard,1_8,3_16,1_4,5_16,3_8,1_2,5_8,3_4,7_8,1,1 1_4,1 1_2,1 3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y242,A41,샤클,2022-02-13,단조,,,800,900,1000,1500,2200,3500,5000,7000,13000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y243,A41,샤클,2022-02-13,스텐,,800,1000,1500,2000,3500,7000,13000,19000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y244,A43,아이후크,2022-02-13,standard,1/2톤,03월 04일,1.0T,1.5T,2.0T,3.0T,5.0T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y245,A43,아이후크,2022-02-13,아이후쿠,1000,1200,1500,2500,3000,5500,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y246,A42,샤클(국산),2022-02-13,standard,1_8,3_16,1_4,5_16,3_8,1_2,5_8,3_4,7_8,1,1 1_4,1 1_2,1 3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y247,A42,샤클(국산),2022-02-13,샤클(국산),,,,,,4000,5500,6500,9500,13000,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y248,A44,체인,2022-02-13,standard,3mm,4mm,5mm,6mm,7mm,8mm,9mm,10mm,12mm,14mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y249,A44,체인,2022-02-13,일반,350,650,850,1200,1800,2300,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y250,A44,체인,2022-02-13,스텐,1300,2500,3300,4800,6800,8500,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y251,A45,비나,2022-02-13,standard,3mm,4mm,5mm,6mm,7mm,8mm,9mm,10mm,12mm,14mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y252,A45,비나,2022-02-13,일반,150,160,200,250,300,350,450,600,1200,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y253,A45,비나,2022-02-13,스텐,,600,700,900,1000,1500,2000,2500,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y254,A46,퀵링크,2022-02-13,standard,3mm,4mm,5mm,6mm,7mm,8mm,9mm,10mm,12mm,14mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y255,A46,퀵링크,2022-02-13,일반,,182,195,250,300,450,600,750,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y256,A47,도르레,2022-02-13,standard,1 1_2,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y257,A47,도르레,2022-02-13,일반,2000,3000,6500,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y258,A48,와이어,2022-02-13,standard,0.8mm,1.0mm,1.6mm,2.0mm,2.4mm,3mm,4mm,5mm,6mm,8mm,10mm,12mm,14mm,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y259,A48,와이어,2022-02-13,일반,,,90,100,120,150,240,350,500,870,1200,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y260,A48,와이어,2022-02-13,스텐,100,110,150,200,250,400,700,1000,1300,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y261,A49,코스,2022-02-13,standard,0.8mm,1.0mm,1.6mm,2.0mm,2.4mm,3mm,4mm,5mm,6mm,8mm,10mm,12mm,14mm,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y262,A49,코스,2022-02-13,코스,,,,,,,,100,120,180,300,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y263,A50,페롤,2022-02-13,standard,0.8mm,1.0mm,1.6mm,2.0mm,2.4mm,3mm,4mm,5mm,6mm,8mm,10mm,12mm,14mm,16mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y264,A50,페롤,2022-02-13,페롤,,40,45,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y265,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,standard,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y266,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M2,3.4,3.4,3.4,3.4,3.9,4.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y267,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M3,,3.4,3.4,3.4,3.9,4.2,4.4,4.7,5.5,6.9,8.6,10.9,12.1,13.9,15.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y268,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M4,,5.9,5,5,5.9,6.2,6.6,6.9,7.6,8.6,10.6,12.8,14.3,16,17.8,19.8,24.9,27,28.4,30.9,32.6,34.4,38.6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y269,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M5,,,,8.9,9.4,9.7,9.9,10.9,11.4,13.3,14.6,18.1,20.2,22.8,24.7,27,31.2,33.6,36.6,37.8,40.3,43,46.9,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y270,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M6,,,,,17,17.5,18.1,19.2,19.7,22,24.7,27.9,29.6,31.8,34.3,36.3,40,43.2,46.2,49.2,52.2,55.3,61.8,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y271,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M8,,,,,,,38.8,,40.5,43.3,46.5,54.4,56.6,60,63.7,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y272,A51,"철-P형,G형,트러스,접시 머신",2022-02-13,M10,,,,,,,,,,67.2,75.6,80.6,94.1,100.8,107.5,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y273,A52,"철-P형,접시 1종",2022-02-13,standard,4,5,6,8,10,12,14,16,20,25,30,35,40,50,60,70,80,90,100,125,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y274,A52,"철-P형,접시 1종",2022-02-13,M2,3.1,3.1,3.1,3.5,3.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y275,A52,"철-P형,접시 1종",2022-02-13,M3,,3.9,3.9,3.9,4,5.1,5.4,6.2,6.5,6.6,9.1,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y276,A52,"철-P형,접시 1종",2022-02-13,M4,,,,7.1,7.9,8,8.9,9.7,10.5,12.2,14.8,16.9,18.8,22.9,24.8,28.3,31.6,35.4,44,66,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y277,A52,"철-P형,접시 1종",2022-02-13,M5,,,,,,11.9,14,13.2,16.2,19.7,22.8,25.6,28,32.8,30.8,34.7,39.4,43,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y278,A52,"철-P형,접시 1종",2022-02-13,M6,,,,,,,,21.3,23.4,26,29.6,31.9,35.3,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y279,A53,철-트러스 1종,2022-02-13,standard,6,8,10,12,14,16,20,25,30,35,38,40,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y280,A53,철-트러스 1종,2022-02-13,M4,6.9,7.4,8.2,8.3,9.1,10,10.8,12.5,15.1,17.2,18.2,18.9,21.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y281,A53,철-트러스 1종,2022-02-13,M5,,,11.2,12.8,,14.6,17.1,21.1,24.3,27.1,,30,32.2,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y282,A53,철-트러스 1종,2022-02-13,M6,,,,19.9,,22.8,25.6,27.9,31.9,34.5,,38,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y283,A54,철-P형 2종커팅,2022-02-13,standard,5,6,8,10,12,14,16,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y284,A54,철-P형 2종커팅,2022-02-13,M3,4.6,4.6,4.8,4.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y285,A54,철-P형 2종커팅,2022-02-13,M4,,7.2,7.9,8.6,8.9,9.7,10.5,11.9,13.1,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y286,A54,철-P형 2종커팅,2022-02-13,M5,,,10.9,11.6,12.6,13.1,14.3,16.9,20.3,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y287,A55,철-트러스 2종커팅,2022-02-13,standard,6,8,10,12,16,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y288,A55,철-트러스 2종커팅,2022-02-13,M4,7.4,8,8.9,9.1,10.8,12,13.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y289,A55,철-트러스 2종커팅,2022-02-13,M5,,11.7,12,13.4,15.2,17.7,21.7,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y290,A73,철-p형셈스,2022-02-13,standard,5,6,8,10,12,14,16,20,25,30,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y291,A73,철-p형셈스,2022-02-13,3,10.6,10.6,11,11.3,11.6,12.2,12.3,12.9,14.4,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y292,A73,철-p형셈스,2022-02-13,4,,13.7,12.9,13.2,13.6,14.2,14.7,16,16.7,18.7,21.5,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y293,A73,철-p형셈스,2022-02-13,5,,,18.9,18.3,18.6,19.2,19.6,21,22.6,25,31.5,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y294,A73,철-p형셈스,2022-02-13,6,,,28.6,25.7,27.7,28.3,29,30.3,32.9,36,40,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y295,A73,철-p형셈스,2022-02-13,8,,,,,59.2,0,61.8,64.6,70.2,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y296,A78,철-후렌지볼트,2022-02-13,standard,10,12,15,20,25,30,35,40,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y297,A78,철-후렌지볼트,2022-02-13,5,13,14,16,18,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y298,A78,철-후렌지볼트,2022-02-13,6,22,23,25,28,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y299,A78,철-후렌지볼트,2022-02-13,8,,,47,51,54,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y300,A78,철-후렌지볼트,2022-02-13,10,,,72,76,83,88,99,104,114,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y301,A74,철-육각셈스,2022-02-13,standard,10,12,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y302,A74,철-육각셈스,2022-02-13,5,27,27,28.5,30.9,33.5,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y303,A74,철-육각셈스,2022-02-13,6,34.7,34.7,37.3,32.6,45,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y304,A74,철-육각셈스,2022-02-13,8,,,67.6,72.1,77.2,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y305,A74,철-육각셈스,2022-02-13,10,,,131.3,135.1,137.7,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y306,A74,철-육각셈스,2022-02-13,12,,,0,205.9,227.4,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y307,A75,STS-P형셈스,2022-02-13,standard,5,6,8,10,12,14,16,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y308,A75,STS-P형셈스,2022-02-13,3,24.5,23.2,23.9,24.7,25.2,26.5,27.3,29.2,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y309,A75,STS-P형셈스,2022-02-13,4,,33.3,34.6,35.9,37,38.3,40,44.2,48.6,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y310,A75,STS-P형셈스,2022-02-13,5,,,52.9,53.2,56.1,59.3,63.2,68.4,75.5,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y311,A75,STS-P형셈스,2022-02-13,6,,,,84.4,83.9,90.2,95.4,104,116.4,128.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y312,A79,STS후렌지볼트,2022-02-13,standard,10,12,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y313,A79,STS후렌지볼트,2022-02-13,5,42,45,49,57,64,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y314,A79,STS후렌지볼트,2022-02-13,6,63,66,73,85,100,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y315,A79,STS후렌지볼트,2022-02-13,8,0,149,152,166,186,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y316,A76,STS-육각셈스,2022-02-13,standard,8,10,12,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y317,A76,STS-육각셈스,2022-02-13,4,49,52.9,56.6,59.5,62.8,69.2,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y318,A76,STS-육각셈스,2022-02-13,5,,79.2,84.2,88.1,93,96.8,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y319,A76,STS-육각셈스,2022-02-13,6,,,115.7,112.7,134.6,140.7,146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y320,A76,STS-육각셈스,2022-02-13,8,,,,245.1,252.7,260.3,266.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y321,A76,STS-육각셈스,2022-02-13,10,,,,450.5,476.2,500.5,536.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y322,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,standard,5,6,8,10,12,15,20,25,30,35,40,45,50,55,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y323,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,3,31.2,29.7,30.4,31.2,32.8,32.8,36.1,41,45.9,62.3,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y324,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,4,,38.8,44.3,45.9,47.6,49.2,52.5,57.4,65.6,73.8,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y325,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,5,,,64,65.6,67.3,70.6,75.5,82,96.8,109.9,126.3,137.8,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y326,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,6,,,98,99.6,102.8,105.9,112.3,118.6,126.5,147.1,156.5,175.6,188.1,276.4,320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y327,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,8,,,,,197.3,200.5,211.5,224,238.1,272.5,297.6,327.4,355.6,445.8,473.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y328,A77,"스텐렌지셈스 P/W,S/W",2022-02-13,10,,,,,,465.2,462.1,494.9,529.4,559.2,593.7,642.1,684.5,760.1,819.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y329,A57,스텐피스 T형,2022-02-13,standard,6,8,10,12,14,16,18,20,22,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y330,A57,스텐피스 T형,2022-02-13,3,9.7,9.8,10.3,11.1,11.8,11.9,12.4,12.6,13.7,15,17.2,18.2,22.7,24.3,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y331,A57,스텐피스 T형,2022-02-13,4,15.3,16.4,17.5,18.5,19.5,20.4,22.4,25,25.9,27.4,29.5,34.5,42.3,46.5,52.3,66.7,73.3,79.1,81.8,87.4,95.3,103,105.3,110.8,116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y332,A57,스텐피스 T형,2022-02-13,5,22.1,24.2,26.4,28.5,31.2,33.8,35.4,37,40.9,44.6,46.5,52,60.7,65,69.4,95.5,117.7,124.3,126.4,134.9,149.1,166,174.2,182.4,192.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y333,A57,스텐피스 T형,2022-02-13,6,38.3,40.4,42.3,45.7,48.8,52,55.9,59.6,64.4,69.4,75.8,83.2,93.1,97.4,103.7,133,154.6,163.3,177.7,194,208.3,237.3,249.2,264.7,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y334,A57,스텐피스 T형,2022-02-13,8,,,,,,,,139.7,,151.8,165.7,179.7,195.8,205.8,223.6,237.6,253.6,263.6,280.8,293.5,311.5,337.5,347.4,,365.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y335,A57,스텐피스 T형,2022-02-13,10,,,,,,,,285.5,,308.5,333.4,358.4,381.4,402.2,427.1,448.1,475.1,493.9,516.8,541.8,566.9,608.4,633.5,,654.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y336,A57,스텐피스 T형,2022-02-13,12,,,,,,,,0,,435.5,483.5,514.7,543.9,583.5,618.2,654.3,689.7,725.1,758.5,657.8,825.3,864.7,902.2,,937.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y337,A56,스텐피스 F.P형,2022-02-13,standard,6,8,10,12,14,16,18,20,22,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y338,A56,스텐피스 F.P형,2022-02-13,3,9.7,9.8,10.3,11.1,11.8,11.9,12.4,12.6,13.7,15,17.2,18.2,22.7,24.3,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y339,A56,스텐피스 F.P형,2022-02-13,4,14.5,15.5,16.6,17.5,18.5,19.5,21.3,23.2,24.6,26.1,27.9,32.7,40.3,44.1,49.7,63.4,69.6,75.2,77.8,83.1,90.6,95.5,99.7,104.8,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y340,A56,스텐피스 F.P형,2022-02-13,5,20.9,22.9,25,27,29.6,32.2,33.6,35.3,38.8,42.3,44.3,49.4,57.6,61.7,65.8,81.5,111.7,118.2,120.1,128.2,141.7,157.3,165,172.8,182.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y341,A56,스텐피스 F.P형,2022-02-13,6,36.4,38.3,40.3,43.3,46.4,49.4,53,56.5,61.2,65.8,72.1,79.1,79.7,92.6,98.5,126.4,146.8,155,168.9,184.2,197.9,224.1,235.4,250,259.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y342,A56,스텐피스 F.P형,2022-02-13,8,,,,,,,,133.8,,145.2,158.6,171.9,187.2,196.7,214,227.3,242.6,252.1,269.4,280.8,298,322.8,332.3,,349.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y343,A56,스텐피스 F.P형,2022-02-13,10,,,,,,,,285.5,,308.5,333.4,358.4,381.4,402.2,427.1,448.1,475.1,493.9,516.8,541.8,566.9,608.4,633.5,,654.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y344,A56,스텐피스 F.P형,2022-02-13,12,,,,,,,,0,,435.5,483.5,514.7,543.9,583.5,618.2,654.3,689.7,725.1,758.5,657.8,825.3,864.7,902.2,,937.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y345,A58,유볼트 철,2022-02-13,standard,1_2,3_4,1,1 1_4,1 1_2,2,2 1_2,3,4,5,6,8,10,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y346,A58,유볼트 철,2022-02-13,1_4,78,84,96,108,126,138,168,192,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y347,A58,유볼트 철,2022-02-13,5_16,126,138,162,180,204,234,288,324,396,480,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y348,A58,유볼트 철,2022-02-13,3_8,179,179,203,234,251,293,359,404,509,722,808,1086,1357,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y349,A58,유볼트 철,2022-02-13,1_2,,,,,,702,889,961,1186,1435,1607,2059,2568,2601,3073,3522,5117,5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y350,A58,유볼트 철,2022-02-13,5_8,,,,,,,,,1973,2476,2761,3409,4306,5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y351,A59,유볼트 철 절연,2022-02-13,standard,1_2,3_4,1,1 1_4,1 1_2,2,2 1_2,3,4,5,6,8,10,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y352,A59,유볼트 철 절연,2022-02-13,절연3_8,450,480,540,630,690,798,960,1080,1350,1590,1860,2388,2970,3480,3900,4296,4860,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
